group,point_name,sensor_id,quantity_kind,unit,value_02_09,observed_utc,room_uuid
presence,OU001-RT601 Motion,43bf8f8c-bcea-4155-8d13-21ee436f8ef4,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,d1062339-227b-4e5b-a9a3-18ae8cd31702
presence,OU001-RT601 Motion,fa14911c-41b9-4165-8671-9cf1bf98e90d,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,c0300733-c091-484e-9883-4eb1978e4a5b
presence,OU001-RT601 Motion,953a47d8-b3eb-433d-96bf-e141463f6ecb,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,c0300733-c091-484e-9883-4eb1978e4a5b
presence,OU001-RT601 Motion,fa55e7f5-83e4-4917-af4c-88e6270686b2,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,7b214840-789c-414e-9775-d13920afc6b8
presence,OU001-RT601 Motion,b4159a12-56a0-4cc5-a951-38ddb4ba60a7,Presence,BooleanDetection,0.0,2026-09-02T06:34:55,8f1ce6ec-8b8a-4068-9fb3-d1c314238272
presence,OU001-RT601 Motion,ee986221-ef83-45a8-ae56-baa2c7ff1a04,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,aa748755-1afd-4cc8-ac61-81cdbb4a7a0d
presence,OU001-RT601 Motion,ec1b152c-4feb-40a7-a009-e750e7879db1,Presence,BooleanDetection,0.0,2026-09-02T06:34:51,ab6c0b75-c380-4b56-b07c-ff20456e73e4
presence,OU001-RT601 Motion,d3e198fc-c734-4608-b068-2cd3436c9a0e,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,faf8f05d-e0bf-4497-b096-cbd0adbdc1ee
presence,OU001-RT601 Motion,bef47e4b-6df5-4d16-aa3e-5154e7e1d596,Presence,BooleanDetection,0.0,2026-09-02T06:34:51,faf8f05d-e0bf-4497-b096-cbd0adbdc1ee
presence,OU001-RT601 Motion,1c3b8636-ef84-41dd-94fa-f5c5428f3e72,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,eb975959-5de6-4f22-867d-32cec546577e
presence,OU001-RT601 Motion,57b510fb-736a-4c7b-bdeb-0584cad61328,Presence,BooleanDetection,1.0,2026-09-02T06:34:53,dba84f43-511e-4087-84e8-91b9a9dc27a0
presence,OU001-RT601 Motion,1ee7e981-6efc-4d07-b4c8-d92a1d8297a3,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,7fedbd71-acac-451c-b7fb-02834d6b8b1f
presence,OU001-RT601 Motion,2bf4c7b8-339f-4add-b5b6-53f6f1170ba9,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,7fedbd71-acac-451c-b7fb-02834d6b8b1f
presence,OU001-RT602 Motion,c035721b-0043-42ea-a0a0-951f24a356d4,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,7c34ab73-d420-4610-857b-ce5f322d34b2
presence,OU001-RT602 Motion,93c049ce-9f88-4048-ad97-6db6c56b15f1,Presence,BooleanDetection,0.0,2026-09-02T06:34:55,45732ea0-5a90-4bfa-bcb6-367e616b4a33
presence,OU001-RT602 Motion,674b52ae-69a5-4e45-b3a6-0b5e135d0895,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,faf8f05d-e0bf-4497-b096-cbd0adbdc1ee
presence,OU001-RT602 Motion,e6117d1d-58c3-4664-b2f9-66d64e780078,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,eb975959-5de6-4f22-867d-32cec546577e
presence,OU001-RT603 Motion,8bef99cf-ad70-49e1-82ae-bc7d86bd8dcc,Presence,BooleanDetection,0.0,2026-09-02T06:34:55,45732ea0-5a90-4bfa-bcb6-367e616b4a33
AHU flow,A'Ahu360002'FanEx'VlmC'VlmFl,76b6ce34-17ba-4fa2-82fa-92fe07a98324,Flow,M3-PER-HR,19638.78125,2026-09-02T06:35:35,
AHU flow,A'Ahu360002'FanSu'VlmC'VlmFl,1369238f-0f68-43cc-9591-6f48d31efa6b,Flow,M3-PER-HR,19880.462890625,2026-09-02T06:35:38,
AHU flow,A'Ahu360003'FanEx'VlmC'VlmFl,25e15b5c-a48a-4103-a9aa-3d9a4ccff6f7,Flow,M3-PER-HR,13429.384765625,2026-09-02T06:35:38,
AHU flow,A'Ahu360003'FanSu'VlmC'VlmFl,0c198363-13e6-45c9-b8d4-6de3aea93757,Flow,M3-PER-HR,16363.3525390625,2026-09-02T06:35:38,
AHU flow,A'Ahu360004'FanEx'VlmC'VlmFl,d9cdfc6c-0814-4704-a201-a826baa4b1ce,Flow,M3-PER-HR,18616.79296875,2026-09-02T06:35:37,
AHU flow,A'Ahu360004'FanSu'VlmC'VlmFl,8e100ea9-7552-45de-8dd8-dd72e97909c9,Flow,M3-PER-HR,18437.001953125,2026-09-02T06:35:37,
AHU flow,A'Ahu360005'FanEx'VlmC'VlmFl,63fe9f83-02ca-43b0-aef4-eefe9ef0d728,Flow,M3-PER-HR,14630.435546875,2026-09-02T06:35:38,
AHU flow,A'Ahu360005'FanSu'VlmC'VlmFl,2cd52401-2b46-4a42-8355-791c5d692c79,Flow,M3-PER-HR,21094.07421875,2026-09-02T06:35:38,
AHU flow,A'Ahu360006'FanEx'VlmC'VlmFl,b93243f9-4e93-467d-bdf0-8a09a47d7ab3,Flow,M3-PER-HR,18785.216796875,2026-09-02T06:35:36,
AHU flow,A'Ahu360006'FanSu'VlmC'VlmFl,033bd7f3-abe8-4e2e-bf4c-decbf7eb526a,Flow,M3-PER-HR,24358.841796875,2026-09-02T06:35:35,
AHU flow,A'Ahu360007'FanEx'VlmC'VlmFl,d17bfa04-ca15-4257-ab27-fcb21e433d04,Flow,M3-PER-HR,0.0,2026-09-02T06:35:37,
AHU flow,A'Ahu360007'FanSu'VlmC'VlmFl,845dc633-e6cb-4cfa-aa5a-d26db322cfeb,Flow,M3-PER-HR,0.0,2026-09-02T06:35:37,
AHU flow,A'Ahu360014'FanEx'VlmC'VlmFl,ba431e75-1639-4f28-8c2c-79eba1187c80,Flow,M3-PER-HR,0.0,2026-09-02T06:35:36,
AHU flow,A'Ahu360014'FanSu'VlmC'VlmFl,afbf74e2-2066-497a-8b59-275f6753d3a2,Flow,M3-PER-HR,0.0,2026-09-02T06:35:36,
AHU flow,A'Ahu360015'FanEx'VlmC'VlmFl,5c42e383-b021-4a32-a6f5-2df42025b969,Flow,M3-PER-HR,11807.779296875,2026-09-02T06:35:36,
AHU flow,A'Ahu360015'FanSu'VlmC'VlmFl,82df5d13-1118-4474-9833-8460a990524b,Flow,M3-PER-HR,4452.44384765625,2026-09-02T06:35:37,
AHU flow,A'Ahu360016'FanEx'VlmC'VlmFl,bc4c4a5b-8edd-4794-96a3-4a096692f65a,Flow,M3-PER-HR,0.0,2026-09-02T06:35:35,
AHU flow,A'Ahu360016'FanSu'VlmC'VlmFl,9de527f1-1ed0-4550-9a66-5a265f02a26d,Flow,M3-PER-HR,0.0,2026-09-02T06:35:35,
AHU flow,A'Ahu360018'FanEx'VlmC'VlmFl,40008bd1-18b6-42f9-8ff8-63332b4bc374,Flow,M3-PER-HR,0.0,2026-09-02T06:35:36,
AHU flow,A'Ahu360018'FanSu'VlmC'VlmFl,f81e20a8-7df8-40e3-8aa3-3311cf08f40a,Flow,M3-PER-HR,1350.7012939453125,2026-09-02T06:35:37,
