group,role,point_name,sensor_id,quantity_kind,unit,value_02_09,observed_utc,room_uuid
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390080'TRt501,0dc0d642-0b7f-4c48-91db-a12a2b12835f,Temperature,Celsius,8.899999618530273,2026-09-02T06:35:40,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390090'TFl401,691772d5-41e8-4a98-9afc-210f4a99af7b,Temperature,Celsius,8.859999656677246,2026-09-02T06:35:36,
agent B,Erc390 heat recovery,CdsHrc'Erc390'Erc390090'TRt501,fd2f3442-607a-49cc-bf3c-2a3368ef3e97,Temperature,Celsius,16.239999771118164,2026-09-02T06:35:40,
agent B,HPlt320 heating,H'HPlt320'HPlt32000'TFl401,e627ac42-56a6-4251-8639-23fccad35b4f,Temperature,Celsius,48.86000061035156,2026-09-02T06:35:38,
agent B,HPlt320 heating,H'HPlt320'HPlt32000'TRt501,67819291-4f0a-4eef-b935-ebed988a0f60,Temperature,Celsius,49.05999755859375,2026-09-02T06:35:36,
agent B,HPlt320 heating,H'HPlt320'HPlt32010'Sp,a15c13bd-6d50-4cdb-9ae3-a1ebdf1e1989,Temperature,Celsius,26.0,2026-09-02T05:52:52,
agent B,HPlt320 heating,H'HPlt320'HPlt32010'TFl401,d1e48db8-e12c-4639-9e5d-ff7d0049e1cc,Temperature,Celsius,19.85999870300293,2026-09-02T06:35:40,
agent B,HPlt320 heating,H'HPlt320'HPlt32010'TFl402,0c45e7c0-9b00-47ed-b13b-edc2f2ed2be4,Temperature,Celsius,24.35999870300293,2026-09-02T06:35:39,
agent B,HPlt320 heating,H'HPlt320'HPlt32010'TRt501,b21fa682-6ef8-4391-894a-180c8017db68,Temperature,Celsius,18.760000228881836,2026-09-02T06:35:40,
agent B,HPlt320 heating,H'HPlt320'HPlt32010'TRt502,731f25a9-c1ad-48fe-a36f-259c69d63074,Temperature,Celsius,28.3799991607666,2026-09-02T06:35:37,
agent B,HPlt320 heating,H'HPlt320'HPlt32030'Sp1,c5a39340-1281-44de-99f4-e40f3462dde2,Temperature,Celsius,10.0,2026-09-02T05:52:52,
agent B,HPlt320 heating,H'HPlt320'HPlt32030'SpDtr,17460926-fdb0-43d0-97f7-09419a49d99d,Temperature,Celsius,19.0,2026-09-02T05:52:52,
agent B,HPlt320 heating,H'HPlt320'HPlt32030'TFl,ee461ec4-b62a-4019-9af5-c783681846c2,Temperature,Celsius,25.34000015258789,2026-09-02T06:35:38,
agent B,HPlt320 heating,H'HPlt320'HPlt32030'TOa,903494ca-3e4a-4655-8d9d-bae0433e278f,Temperature,Celsius,25.15999984741211,2026-09-02T06:35:38,
agent B,HPlt320 heating,H'HPlt320'HPlt32030'TRt,98787b27-80f3-43ac-b45b-79135ce09af2,Temperature,Celsius,25.479999542236328,2026-09-02T06:35:37,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32121'TRt501,f4bb8a1f-1435-4f25-ba59-18c315a5f968,Temperature,Celsius,28.059999465942383,2026-09-02T06:35:38,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32122'TRt501,eb178f20-2d0b-4443-bf4e-cdbf4149fbbe,Temperature,Celsius,28.459999084472656,2026-09-02T06:35:39,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32123'TRt501,ad282055-cda0-4e91-8ea4-ed91ea940c10,Temperature,Celsius,30.760000228881836,2026-09-02T06:35:38,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32124'TRt501,796c7d36-6bee-4bd7-9ddd-a33107017242,Temperature,Celsius,27.779998779296875,2026-09-02T06:35:35,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32125'TRt501,eb3f9b29-7864-44af-b9e2-9af72dacf983,Temperature,Celsius,28.01999855041504,2026-09-02T06:35:39,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32126'TRt501,3ca71714-1631-4617-bee4-dbc20a6beb35,Temperature,Celsius,29.01999855041504,2026-09-02T06:35:38,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32127'TRt501,18563b85-9a0b-4b59-9e76-015b00df3d6e,Temperature,Celsius,28.899999618530273,2026-09-02T06:35:38,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32128'TRt501,bbacd068-2758-460e-99e5-ab60a7ff4c42,Temperature,Celsius,27.959999084472656,2026-09-02T06:35:40,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32129'TRt501,f1eed89c-7c39-47e2-98d3-fd53a59e23f8,Temperature,Celsius,29.15999984741211,2026-09-02T06:35:38,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32130'TRt501,5b276fb5-0cfe-4df0-8202-47e6b47d4210,Temperature,Celsius,25.979999542236328,2026-09-02T06:35:37,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32131'TRt501,a570120c-57f8-4dbb-8530-26ce80899993,Temperature,Celsius,35.79999923706055,2026-09-02T06:35:37,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32132'TRt501,e3631313-6202-44b8-a378-e7662cad9d49,Temperature,Celsius,28.599998474121094,2026-09-02T06:35:37,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32133'TRt501,13db325f-ff6f-42a3-8634-afac15835726,Temperature,Celsius,22.35999870300293,2026-09-02T06:35:38,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32134'TRt501,1e836299-a4f2-46e7-b062-d7c4f36c974f,Temperature,Celsius,22.600000381469727,2026-09-02T06:35:39,
agent B,HPlt320 heating,H'HPlt320'HPlt32121'HPlt32135'TRt501,f848ba4d-b3e8-4c96-96a3-2ec8bb285238,Temperature,Celsius,28.260000228881836,2026-09-02T06:35:36,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'MxCrt'Sp5,70921d23-1334-4d02-b027-3a3ecfb9c9ed,Temperature,Celsius,5.0,2026-09-02T05:52:52,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'MxCrt'Sp6,8e90a76a-ded0-42e2-8b33-e98d12ed2470,Temperature,Celsius,30.0,2026-09-02T05:52:52,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'MxCrt'SpDtr1,490a40ff-cb37-43dc-84b7-e22af6666085,Temperature,Celsius,0.0,2026-09-02T05:52:52,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'MxCrt'TFl,64ee7a9f-4a70-4d38-a6a0-b7d0df1a8e15,Temperature,Celsius,30.399999618530273,2026-09-02T06:35:38,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'MxCrt'TFl1,e62758d1-2522-45e3-8d49-4df5b7128dc0,Temperature,Celsius,30.17999839782715,2026-09-02T06:35:39,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'MxCrt'TRt1,5ffb3ba1-b796-44b6-b329-678685375b9b,Temperature,Celsius,34.099998474121094,2026-09-02T06:35:38,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'MxCrt'TRt2,8465ad3a-52a2-40e6-a8b4-8f26cecacadc,Temperature,Celsius,30.67999839782715,2026-09-02T06:35:35,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'SnoSen402'Sp1,a292d32e-2cc9-404a-85af-7696e2892caf,Temperature,Celsius,-5.0,2026-09-02T05:52:52,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'SnoSen402'Sp2,0d7f2eba-36e0-4d0e-bf0d-b57a53bdeca4,Temperature,Celsius,3.0,2026-09-02T05:52:52,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'SnoSen402'Sp6,32d10cf2-3bf9-4401-8dd2-db9304880f99,Temperature,Celsius,-2.0,2026-09-02T05:52:52,
agent B,HPlt320 heating,H'HPlt320'Hplt32020'SnoSen403'Sp1,89c9d290-6261-4b3b-9c69-8b2edddfd2cb,Temperature,Celsius,-4.5,2026-09-02T05:52:52,
